species,mass,molecular weight,GC content
Aptenodytes forsteri,28.0,42431.54900000002,48.38145231846019
Aptenodytes patagonicus,13.4,42431.54900000002,49.69378827646544
Eudyptes chrysocome,2.8,42431.54900000002,51.181102362204726
Eudyptes chrysolophus,4.5,42431.54900000002,50.91863517060367
Eudyptes sclateri,4.25,42431.54900000002,50.83114610673666
Eudyptula minor,1.6,42431.54900000002,49.25634295713036
Pygoscelis adeliae,4.6,42431.54900000002,49.08136482939633
Pygoscelis antarctica,4.1,42431.54900000002,47.76902887139108
Pygoscelis papua,6.1,42431.54900000002,47.15660542432196
Spheniscus demersus,3.2,42431.54900000002,48.29396325459317
Spheniscus humboldti,4.75,42431.54900000002,49.25634295713036
Spheniscus magellanicus,3.4,42431.54900000002,48.20647419072616
